Ticker,Market,Company,Listing_Year,Listing_Date,Source,Notes
301170,SZSE,锡南科技,2023,2023-06-27,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301170,创业板
300804,SZSE,广康生化,2023,2023-06-27,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300804,创业板
301295,SZSE,美硕科技,2023,2023-06-28,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301295,创业板
301397,SZSE,溯联股份,2023,2023-06-28,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301397,创业板
301210,SZSE,金杨精密,2023,2023-06-30,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301210,创业板
301291,SZSE,明阳电气,2023,2023-06-30,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301291,创业板
301395,SZSE,仁信新材,2023,2023-07-03,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301395,创业板
301488,SZSE,豪恩汽电,2023,2023-07-04,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301488,创业板
301202,SZSE,朗威股份,2023,2023-07-05,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301202,创业板
301486,SZSE,致尚科技,2023,2023-07-07,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301486,创业板
301292,SZSE,海科新源,2023,2023-07-07,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301292,创业板
301261,SZSE,恒工精密,2023,2023-07-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301261,创业板
301393,SZSE,昊帆生物,2023,2023-07-12,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301393,创业板
301381,SZSE,赛维时代,2023,2023-07-12,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301381,创业板
301370,SZSE,国科恒泰,2023,2023-07-12,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301370,创业板
301272,SZSE,英华特,2023,2023-07-13,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301272,创业板
301456,SZSE,盘古智能,2023,2023-07-14,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301456,创业板
301329,SZSE,信音电子,2023,2023-07-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301329,创业板
301503,SZSE,智迪科技,2023,2023-07-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301503,创业板
301505,SZSE,苏州规划,2023,2023-07-19,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301505,创业板
301512,SZSE,智信精密,2023,2023-07-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301512,创业板
301499,SZSE,维科精密,2023,2023-07-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301499,创业板
301468,SZSE,博盈特焊,2023,2023-07-24,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301468,创业板
301446,SZSE,福事特,2023,2023-07-25,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301446,创业板
301515,SZSE,港通医疗,2023,2023-07-25,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301515,创业板
301172,SZSE,君逸数码,2023,2023-07-26,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301172,创业板
301519,SZSE,舜禹股份,2023,2023-07-27,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301519,创业板
301371,SZSE,敷尔佳,2023,2023-08-01,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301371,创业板
301518,SZSE,长华化学,2023,2023-08-03,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301518,创业板
301509,SZSE,金凯生科,2023,2023-08-03,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301509,创业板
301362,SZSE,民爆光电,2023,2023-08-04,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301362,创业板
301487,SZSE,盟固利,2023,2023-08-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301487,创业板
300904,SZSE,威力传动,2023,2023-08-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ300904,创业板
301348,SZSE,蓝箭电子,2023,2023-08-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301348,创业板
301372,SZSE,科净源,2023,2023-08-11,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301372,创业板
301510,SZSE,固高科技,2023,2023-08-15,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301510,创业板
301498,SZSE,乖宝宠物,2023,2023-08-16,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301498,创业板
301511,SZSE,德福科技,2023,2023-08-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301511,创业板
301533,SZSE,威马农机,2023,2023-08-18,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301533,创业板
301418,SZSE,协昌科技,2023,2023-08-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301418,创业板
301469,SZSE,恒达新材,2023,2023-08-22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301469,创业板
301421,SZSE,波长光电,2023,2023-08-23,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301421,创业板
301528,SZSE,多浦乐,2023,2023-08-28,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301528,创业板
301525,SZSE,儒竞科技,2023,2023-08-30,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301525,创业板
301507,SZSE,民生健康,2023,2023-09-05,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301507,创业板
301251,SZSE,威尔高,2023,2023-09-06,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301251,创业板
301529,SZSE,福赛科技,2023,2023-09-11,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301529,创业板
301550,SZSE,斯菱智驱,2023,2023-09-15,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301550,创业板
301548,SZSE,崇德科技,2023,2023-09-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301548,创业板
301500,SZSE,飞南资源,2023,2023-09-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301500,创业板
301520,SZSE,万邦医药,2023,2023-09-25,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301520,创业板
